name,price,year,state
buick door,29000,2017,illinois
ford flex,23402,2019,michigan
kia door,13300,2017,connecticut
bmw x3,19700,2017,wisconsin
ford flex,23211,2019,michigan
kia sorento,15500,2017,connecticut
ford fusion,18111,2019,michigan
kia sorento,21500,2017,connecticut
ford mustang,25511,2019,michigan
chevrolet equinox,17700,2017,wisconsin
chevrolet cutaway,28000,2017,illinois
chevrolet door,14000,2017,wisconsin
chevrolet door,21700,2017,wisconsin
chevrolet door,13500,2017,wisconsin
chevrolet 1500,35500,2017,wisconsin
chevrolet 1500,29500,2017,wisconsin
chevrolet 1500,25300,2017,wisconsin
chevrolet 1500,21500,2016,new jersey
chevrolet door,25900,2016,wisconsin
chevrolet door,35300,2016,wisconsin
chevrolet door,13500,2016,wisconsin
chevrolet corvette,62000,2016,illinois
chevrolet corvette,46000,2016,illinois
chevrolet malibu,9000,2016,wisconsin
chevrolet door,25900,2016,wisconsin
chevrolet door,25800,2016,wisconsin
chevrolet door,17000,2016,wisconsin
chevrolet door,12800,2016,wisconsin
chevrolet 3500,47400,2016,wisconsin
chevrolet door,24400,2016,wisconsin
chevrolet trax,17100,2016,wisconsin
chevrolet door,7400,2015,wisconsin
chevrolet door,33100,2015,wisconsin
chevrolet trax,22000,2020,california
chevrolet 1500,35000,2019,california
chevrolet equinox,16500,2019,california
chevrolet 1500,35300,2019,california
chevrolet traverse,26900,2018,missouri
chevrolet trax,11600,2017,california
chevrolet 1500,28100,2017,california
chevrolet 1500,27700,2017,california
chevrolet passenger,17700,2017,california
chevrolet volt,16600,2017,california
chevrolet corvette,63200,2016,california
chevrolet door,36800,2015,california
chevrolet passenger,19500,2018,texas
chevrolet tahoe,38800,2019,oklahoma
chevrolet tahoe,37500,2019,oklahoma
chevrolet suburban,35000,2019,oklahoma
chevrolet camaro,31100,2019,oklahoma
chevrolet van,22600,2019,oklahoma
chevrolet van,22400,2019,oklahoma
chevrolet van,22700,2019,oklahoma
chevrolet malibu,13700,2019,oklahoma
chevrolet suburban,37100,2019,oklahoma
chevrolet colorado,18500,2018,oregon
chevrolet 2500,18300,2017,oregon
chevrolet 2500,19000,2017,oregon
chevrolet 1500,18500,2017,oregon
chevrolet door,22500,2016,oregon
chevrolet door,14500,2014,oregon
chevrolet tahoe,32800,2018,oklahoma
chevrolet malibu,12300,2018,oklahoma
chevrolet 1500,19600,2018,oklahoma
chevrolet malibu,13600,2018,oklahoma
chevrolet spark,7200,2018,oklahoma
chevrolet 1500,19900,2018,oklahoma
chevrolet malibu,13000,2018,oklahoma
chevrolet door,19700,2016,oklahoma
chevrolet door,9400,2017,oklahoma
chevrolet 1500,23800,2017,oklahoma
chevrolet equinox,17700,2019,new york
chevrolet door,17000,2015,oklahoma
chevrolet door,14000,2014,florida
chevrolet 2500,32100,2018,pennsylvania
chevrolet 2500,33100,2019,pennsylvania
chevrolet 2500,31600,2018,pennsylvania
chevrolet door,5100,2013,pennsylvania
chevrolet door,4100,2013,pennsylvania
chevrolet door,7200,2014,texas
chevrolet 1500,12800,2014,texas
chevrolet 1500,46800,2019,nebraska
chevrolet van,21800,2019,missouri
chevrolet door,3000,2013,texas
chevrolet colorado,22500,2017,indiana
chevrolet suburban,35300,2018,missouri
chevrolet volt,16500,2017,oklahoma
chevrolet door,33000,2017,missouri
chevrolet 1500,31500,2017,missouri
chevrolet 1500,34500,2017,missouri
chevrolet trax,8000,2016,west virginia
chevrolet 1500,25000,2017,west virginia
chevrolet trax,10700,2016,west virginia
chevrolet door,13400,2016,west virginia
chevrolet equinox,16500,2019,west virginia
chevrolet traverse,34000,2019,west virginia
chevrolet trax,14100,2018,west virginia
chevrolet 1500,38600,2019,west virginia
chevrolet door,9100,2016,missouri
chevrolet door,8600,2016,missouri
chevrolet door,22000,2016,oklahoma
chevrolet colorado,8900,2015,west virginia
chevrolet door,15500,2015,west virginia
chevrolet door,3300,2015,west virginia
chevrolet 1500,29000,2015,missouri
chevrolet equinox,17300,2020,nevada
chevrolet traverse,30500,2020,nevada
chevrolet impala,25000,2020,nevada
chevrolet cruze,2800,2012,illinois
chevrolet door,3300,2012,illinois
chevrolet suburban,36400,2019,nevada
chevrolet suburban,34800,2019,nevada
chevrolet ld,20700,2019,nevada
chevrolet suburban,32200,2019,nevada
chevrolet tahoe,35300,2019,nevada
chevrolet suburban,33500,2019,nevada
chevrolet impala,13700,2019,nevada
chevrolet malibu,15900,2019,nevada
chevrolet suburban,33200,2019,nevada
chevrolet suburban,35500,2019,nevada
chevrolet suburban,29800,2018,nevada
chevrolet suburban,29800,2018,nevada
chevrolet suburban,29500,2018,nevada
chevrolet suburban,30300,2018,nevada
chevrolet 1500,24300,2018,new york
chevrolet suburban,29800,2017,nevada
chevrolet suburban,29800,2017,nevada
chevrolet camaro,27500,2016,nevada
chevrolet door,10800,2017,new jersey
chevrolet van,11500,2017,new jersey
chevrolet van,10400,2017,new jersey
chevrolet equinox,11400,2018,florida
chevrolet equinox,11400,2018,florida
chevrolet door,8000,2015,nevada
chevrolet door,3000,2012,california
chevrolet door,25000,2015,nevada
chevrolet traverse,12300,2017,new york
chevrolet traverse,14100,2017,new york
chevrolet van,9000,2014,nevada
chevrolet door,4200,2014,nevada
chevrolet van,22500,2019,texas
chevrolet van,22600,2019,texas
chevrolet van,22600,2019,texas
chevrolet van,22500,2019,texas
chevrolet malibu,10200,2018,texas
chevrolet 3500,42700,2016,texas
chevrolet tahoe,21200,2015,texas
chevrolet door,22700,2016,texas
chevrolet tahoe,22000,2015,texas
chevrolet 1500,9600,2014,texas
chevrolet door,10500,2013,texas
chevrolet door,6700,2013,texas
chevrolet door,14200,2013,texas
chevrolet equinox,15500,2019,florida
chevrolet 1500,35100,2018,kansas
chevrolet camaro,26300,2018,kansas
chevrolet colorado,15700,2016,new jersey
chevrolet 1500,17600,2016,new jersey
chevrolet 1500,18600,2016,new jersey
chevrolet 1500,19100,2016,new jersey
chevrolet equinox,15200,2019,north carolina
chevrolet equinox,16100,2019,north carolina
chevrolet equinox,14800,2019,north carolina
chevrolet equinox,16700,2019,north carolina
chevrolet equinox,15300,2019,north carolina
chevrolet equinox,16500,2019,north carolina
chevrolet passenger,19600,2019,north carolina
chevrolet impala,15200,2019,north carolina
chevrolet impala,15000,2019,north carolina
chevrolet impala,15500,2019,north carolina
chevrolet impala,15700,2019,north carolina
chevrolet impala,14800,2019,north carolina
chevrolet cruze,9200,2017,north carolina
chevrolet impala,8200,2017,north carolina
chevrolet door,11400,2013,new jersey
chevrolet door,6500,2015,north carolina
chevrolet door,11500,2014,north carolina
