name,address1,address2,address3,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,longitude,latitude,easting,northing,runtime
Barham Park,Harrow Road,Wembley,,Brent,,202209694.0,E09000005,Sudbury,E05000101,-0.311416087796811,51.5521822873598,517169.9682648821,185049.92265177015,04/11/2021
Wood End Library,Whitton Avenue West,Greenford,,Ealing,,12001293.0,E09000009,North Greenford,E05000183,-0.3498501757625641,51.55277367710072,514503.9689922764,185054.92265164197,04/11/2021
Islington Central Library,Fieldway Crescent,,,Islington,,5300033298.0,E09000019,Highbury East,E05000372,-0.1071294672468351,51.54923604460503,531340.9644118594,185068.9226455304,04/11/2021
Kentish Town Library,Kentish Town Road,,,Camden,,5085726.0,E09000007,Kentish Town,E05000139,-0.140445307929155,51.55001174514965,529028.965041315,185095.92263962963,04/11/2021
Queens Crescent Library,Queen's Crescent,,,Camden,,5055133.0,E09000007,Gospel Oak,E05000134,-0.1511717960418145,51.55048696924614,528283.9652457098,185129.9226306702,04/11/2021
The Gate Library ,Woodgrange Road,,,Newham,,10008993577.0,E09000025,Forest Gate South,E05000484,0.0255148982688684,51.547703484992354,540541.9619102099,185144.92262488848,04/11/2021
Homerton Library,Homerton High Street,,,Hackney,,100023022501.0,E09000012,King's Park,E05009379,-0.0417439152019278,51.54896231292343,535874.9631786781,185157.92262282703,04/11/2021
John Barnes Library,Rowstock Gardens,,,Islington,,10093108781.0,E09000019,Holloway,E05000375,-0.1257958184332612,51.55093872275794,530041.9647661131,185224.92260435305,04/11/2021
Uphall School Library,Uphall Road,Ilford,,Redbridge,,100023043973.0,E09000026,Loxford,E05011247,0.072157542124976,51.54797663299112,543774.9610327648,185265.9225917015,04/11/2021
South Ruislip Library,Victoria Road,Ruislip,,Hillingdon,,10003002133.0,E09000017,South Ruislip,E05000338,-0.3951208686310998,51.55733573379721,511354.3798202437,185492.4324778792,04/11/2021
Manor Park Library,Romford Road,,,Newham,,10008990819.0,E09000025,Manor Park,E05000488,0.0469964069227104,51.55072047016554,542021.9615100165,185521.922523646,04/11/2021
Keats Community Library,Keats Grove,,,Camden,,5085918.0,E09000007,Hampstead Town,E05000135,-0.1682077029392199,51.55548416676798,527088.9655676862,185655.92248831573,04/11/2021
Cricklewood,Olive Road,,,Brent,,202217896.0,E09000005,Mapesbury,E05000095,-0.2273708298559804,51.55686058827446,522983.9666858531,185707.9224726662,04/11/2021
Elm Park Library,St Nicholas Avenue,Hornchurch,,Havering,,100023214017.0,E09000016,St. Andrew's,E05000320,0.1985075658049549,51.55250692897841,552519.7386262647,186025.37233682236,04/11/2021
