Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),Unnamed: 10,Unnamed: 11,Unnamed: 12
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3202,Furniture and Equipment,Furniture & Soft Furnishings  ,17.03.2018,16.04.2018,GPC03180000178,2.50,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.03.2018,16.04.2018,GPC03180000179,61.66,,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,07.03.2018,16.04.2018,GPC03180000180,8.75,,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO STORES 3378,Catering Supplies,Catering Food & Beverages ,05.03.2018,16.04.2018,GPC03180000181,85.88,,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISONS,Catering Supplies,Catering Food & Beverages ,29.03.2018,16.04.2018,GPC03180000182,67.38,,,
Stockport MBC,Services to People,Childrens & Educational Services,KFC,Catering Supplies,Catering Food & Beverages ,27.03.2018,16.04.2018,GPC03180000183,45.99,,,
Stockport MBC,Services to People,Childrens & Educational Services,PIZZA HUT 774,Catering Supplies,Catering Food & Beverages ,26.03.2018,16.04.2018,GPC03180000184,64.79,,,
Stockport MBC,Services to People,Childrens & Educational Services,THE POST OFFICE,Office Expenses,Mail Services   ,22.03.2018,16.04.2018,GPC03180000185,200.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,HOME BARGAINS,Furniture and Equipment,Environmental Services Technical Equipment ,20.03.2018,16.04.2018,GPC03180000186,11.60,,,
Stockport MBC,Services to Place,Central Support Costs,CIEH,Staff Training,Human Resources  ,26.03.2018,16.04.2018,GPC03180000187,289.00,,,
Stockport MBC,Services to Place,Planning Services,HIE GREENWICH,Publicity and Promotion,Arts & Leisure Services  ,07.03.2018,16.04.2018,GPC03180000188,164.99,,,
Stockport MBC,Services to Place,Planning Services,MAN. AIRPORT CAR PARKS,Travelling Expenses,Human Resources Travel & Subsistence ,06.03.2018,16.04.2018,GPC03180000189,34.99,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,27.03.2018,16.04.2018,GPC03180000190,388.65,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,07.03.2018,16.04.2018,GPC03180000191,23.60,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,29.03.2018,16.04.2018,GPC03180000192,40.50,,,
Stockport MBC,Services to People,Childrens & Educational Services,AIR TRANSAT CCA,Care Payments,Social Community Care Supplies & Services  ,26.03.2018,16.04.2018,GPC03180000193,"1,017.76",,,
Stockport MBC,Services to People,Childrens & Educational Services,AIR TRANSAT CCA,Care Payments,Social Community Care Supplies & Services  ,26.03.2018,16.04.2018,GPC03180000194,529.88,,,
Stockport MBC,Services to People,Childrens & Educational Services,EASYJET00 000    ETV57Z6,Care Payments,Social Community Care Supplies & Services  ,27.03.2018,16.04.2018,GPC03180000195,124.10,,,
Stockport MBC,Services to People,Childrens & Educational Services,MONDIAL ASSISTANCE,Care Payments,Social Community Care Supplies & Services  ,26.03.2018,16.04.2018,GPC03180000196,25.06,,,
Stockport MBC,Services to People,Childrens & Educational Services,MONDIAL ASSISTANCE,Care Payments,Social Community Care Supplies & Services  ,26.03.2018,16.04.2018,GPC03180000197,34.86,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Care Payments,Social Community Care Supplies & Services  ,26.03.2018,16.04.2018,GPC03180000198,-7.20,,,
Stockport MBC,Services to People,Childrens & Educational Services,FLEDGLINGS LTD,Care Payments,Social Community Care Supplies & Services  ,23.03.2018,16.04.2018,GPC03180000199,800.49,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Staff Training,Human Resources  ,20.03.2018,16.04.2018,GPC03180000200,89.30,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Staff Training,Human Resources  ,20.03.2018,16.04.2018,GPC03180000201,-71.30,,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Staff Training,Human Resources  ,20.03.2018,16.04.2018,GPC03180000202,82.80,,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Furniture and Equipment,Furniture & Soft Furnishings  ,28.03.2018,16.04.2018,GPC03180000203,13.23,,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.BDADYSLEXIA.,Furniture and Equipment,Furniture & Soft Furnishings  ,16.03.2018,16.04.2018,GPC03180000204,189.00,,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Furniture and Equipment,Furniture & Soft Furnishings  ,15.03.2018,16.04.2018,GPC03180000205,9.12,,,
