COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE
"B.C.R. Development, Inc.",Allegany,Alma,31003700000000,Lot 86 104,UL,OD,-77.97081999999999,42.034936
Unknown,Cattaraugus,Allegany,31009700000000,KC 139,UN,NL,-78.49441999999999,42.014117999999996
Unknown,Wyoming,Attica,31121100000000,Attica Well,UN,GD,-78.26576,42.810219000000004
Unknown,Cattaraugus,Allegany,31009700000000,KC 551,UM,NL,-78.52516999999999,42.011996999999994
Meridian Gas Co.,Onondaga,Van Buren,31067000000000,Kelly 4,UM,GD,-76.33148,43.14314
Unknown,Allegany,UNK,31003100000000,Voided Permit,UN,NL,,
"Farmers Oil & Gas, Inc.",Cattaraugus,Randolph,31009000000000,Young R,UL,GD,-78.96548,42.14074
Unknown,Cattaraugus,Allegany,31009700000000,KC 761,UN,NL,-78.53265,42.009040999999996
"BDH Oil, Inc.",Cattaraugus,Olean,31009600000000,James Lease 36,UL,OD,-78.46279,42.030141
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 56,UN,NL,-78.14993,42.069626
Unknown,Allegany,Alma,31003700000000,Root F 34,UN,NL,-78.05315999999999,42.060966
Sandy Creek Oil & Gas,Oswego,Sandy Creek,31075000000000,Wardell 0,UL,NL,-76.09985999999999,43.625223
Unknown,Allegany,Bolivar,31003700000000,DF 34,UN,NL,-78.12250999999999,42.037804
Unknown,Cattaraugus,Carrollton,31009100000000,Allegany State Park 158,UN,GD,-78.64328,42.063320000000004
Hickory Oil,Allegany,Genesee,31003600000000,Hickory U5,UL,OD,-78.2079,42.067523
Unknown,Cattaraugus,Allegany,31009700000000,KC 674,UN,NL,-78.52923,42.002666
Unknown,Steuben,Wayne,31101000000000,Wixon,UM,GD,-77.1079,42.481640000000006
Unknown,Allegany,Bolivar,31003700000000,Arbogast J 30,UN,NL,-78.14891,42.070446000000004
"Carpenter, J.",Steuben,Avoca,31101000000000,Matoon 1,UM,DW,-77.4946,42.41968
Unknown,Cattaraugus,Allegany,31009700000000,KC 665,UN,NL,-78.52883,42.003403000000006
Phoenix Gas Co.,Seneca,Seneca Falls,31099000000000,Well 9,UM,GD,-76.78219,42.941140000000004
"BDH Oil, Inc.",Cattaraugus,Allegany,31009100000000,Nichols Run Hw-226,UN,IW,-78.57058,42.01153
Unknown,Erie,Aurora,31029600000000,Trailer Park 1,UL,GD,-78.5985,42.73687
"Genegantslet Gas & Oil Co., Inc",Chenango,Smithville,31017000000000,Decker 2,UL,GW,-75.77139,42.39098
"Fralick, C.W. & Assoc.",Steuben,Hartsville,31101000000000,Flint 2,UM,DW,-77.68098,42.2548
Case Oil Corp.,Allegany,Bolivar,31003600000000,Homestead W8,UL,IW,-78.08888,42.063109999999995
Unknown,Cattaraugus,Allegany,31009700000000,KC 840,UN,NL,-78.53648000000001,42.006122999999995
Unknown,Allegany,Bolivar,31003700000000,DF 98,UN,NL,-78.13339,42.036995000000005
"Tjhung, Frank T.",Allegany,Wellsville,31003700000000,GPS 1138,UL,OD,-77.84615,42.10433
Unknown,Cattaraugus,Allegany,31009700000000,KC 34,UM,NL,-78.48508000000001,42.022179
Unknown,Allegany,Bolivar,31003700000000,PFG 7,UN,NL,-78.12899,42.074203000000004
Moore Producing Co.,Allegany,Bolivar,31003700000000,Curtis Farm 1A,UM,IW,-78.17785,42.08205
"Lee Oil Company, Inc.",Cattaraugus,Carrollton,31009200000000,McCaffery 22,UL,OD,-78.60161,42.07031
"BDH Oil, Inc.",Cattaraugus,Olean,31009600000000,James Lease 25,UN,OD,-78.45812,42.02737
Unknown,Allegany,Genesee,31003600000000,Hughes 6,UL,OD,-78.2185,42.062625
Pulaski Gas & Oil,Oswego,Richland,31075000000000,Smith 0,UL,GD,-76.14390999999999,43.57298
Unknown,Allegany,Wirt,31003700000000,Webb E 23,UM,NL,-78.14777,42.09779
Unknown,Allegany,Alma,31003700000000,Root F 294,UM,NL,-78.05988,42.064438
NYS Natural Gas Corp.,Ontario,Phelps,31069000000000,NY Central R R 0,UM,GD,-76.97577,42.916740000000004
Case Oil Corp.,Allegany,Alma,31003600000000,Adrian 39,UL,OD,-78.05954,42.076788
Case Oil Corp.,Allegany,Alma,31003600000000,Adrian 0129,UL,IW,-78.05113,42.07602
Unknown,Allegany,Bolivar,31003600000000,Phillips Farm 62,UL,OD,-78.11310999999999,42.081136
Pulaski Gas & Oil,Oswego,Sandy Creek,31075000000000,Heard 8,UM,GD,-76.12985,43.603429999999996
"Lee Oil Company, Inc.",Steuben,West Union,31101500000000,Cloverleaf,UM,NL,-77.69331,42.08952
"McKee, W.S.",Allegany,Willing,31003000000000,Roeske A 8,UN,OW,-77.87788,42.08396
Unknown,Allegany,Bolivar,31003700000000,PYR 130,UN,NL,-78.18024,42.082848
"Shaner, W.",Allegany,Amity,31003000000000,Hills Estate 9,UN,OD,-78.06884000000001,42.19376
Unknown,Allegany,Alma,31003700000000,Balcerak G 29,UM,NL,-78.06375,42.059269
Unknown,Allegany,Wirt,31003700000000,Crockett D 16,UN,NL,-78.17135,42.087475
Sandy Creek Oil & Gas,Oswego,Sandy Creek,31075000000000,Pruyn Mellious 1,UL,NL,-76.04401999999999,43.66248
Unknown,Cattaraugus,Allegany,31009700000000,KC 523,UN,NL,-78.52441,42.006371
Unknown,Allegany,Alma,31003700000000,Root F 99,UM,NL,-78.05689,42.060349
Unknown,Cattaraugus,Allegany,31009700000000,KC 76,UN,NL,-78.48973000000001,42.022228000000005
Unknown,Cattaraugus,Allegany,31009700000000,KC 879,UN,NL,-78.53971999999999,42.010063
Unknown,Allegany,Bolivar,31003700000000,Dunn P 53,UM,NL,-78.15439,42.060471
P & G Oil Co.,Allegany,Willing,31003600000000,Minges U12,UL,NL,-77.89964,42.077040000000004
Unknown,Allegany,Alma,31003700000000,Root F 300,UM,NL,-78.061,42.064693
Newfield Gas & Oil,Livingston,North Dansville,31051000000000,Kridler 4,UM,GD,-77.71543,42.55775
Unknown,Steuben,Greenwood,31101600000000,"McCormick, J R U1",UL,OD,-77.73385,42.14497
Unknown,Allegany,Bolivar,31003700000000,PFG 19,UL,NL,-78.12959000000001,42.07588
Eagle Oil,Allegany,Alma,31003700000000,Eagle 02,UL,OD,-78.02588,42.065183000000005
Unknown,Cattaraugus,Allegany,31009700000000,KC 41,UM,NL,-78.4856,42.021904
Unknown,Cattaraugus,Allegany,31009700000000,KC 543,UM,NL,-78.52503,42.014267
Unknown,Allegany,Bolivar,31003700000000,PG 50,UM,NL,-78.07885999999999,42.061119
Unknown,Allegany,Wirt,31003700000000,Reiman L 23,UN,NL,-78.14752,42.093906
Unknown,Allegany,Alma,31003700000000,Root F 175,UM,NL,-78.05986999999999,42.059940000000005
Unknown,Allegany,Wirt,31003700000000,Jakima S 28,UN,NL,-78.14369,42.092152
Unknown,Cattaraugus,Allegany,31009600000000,Kurty U08,UL,OD,-78.49429,42.02715
Unknown,Cattaraugus,Allegany,31009700000000,KC 897,UN,NL,-78.54078,42.010925
Unknown,Allegany,Alma,31003700000000,Root F 111,UM,NL,-78.05731,42.060970000000005
Unknown,Allegany,Bolivar,31003700000000,Szathmary D 10,UN,NL,-78.07458000000001,42.071663
Unknown,Allegany,Wirt,31003700000000,Schamberger J 53,UM,NL,-78.1876,42.086487
Unknown,Allegany,Bolivar,31003700000000,Dunn J 38,UN,NL,-78.15916,42.062523
Unknown,Chautauqua,Hanover,31013000000000,Stone E T and Eliz 1,UN,NL,-79.11910999999999,42.49703
Unknown,Cattaraugus,Allegany,31009700000000,KC 29,UM,NL,-78.48485,42.022572
Wood Oil Co.,Cattaraugus,Olean,31009600000000,56,UM,IW,-78.42101,42.00647
Other Gas,Erie,Grand Island,31029100000000,"Grand Isle Gas Co, Inc 1",UN,GD,-78.9478,42.969491
Reserve Gas,Oswego,Sandy Creek,31075000000000,Fee 1,UL,DW,-76.10855,43.639233000000004
"Republic Light, Heat & Power",Ontario,East Bloomfield,31069000000000,Bailey 2,UM,DH,-77.41936,42.86235
"Dearth, G. et al",Seneca,Junius,31099000000000,Dadson 1,UM,GD,-76.92159000000001,42.95027
Unknown,Cattaraugus,Carrollton,31009100000000,Allegany State Park 143,UN,GD,-78.63065,42.063320000000004
Unknown,Allegany,Wirt,31003700000000,Gage 1,UL,OD,-78.15499,42.08876
Ontario Gas,Livingston,Avon,31051000000000,Collins 1,UM,DH,-77.69813,42.86549
Unknown,Allegany,Wirt,31003700000000,PYR 61,UM,NL,-78.17804,42.087845
Unknown,Allegany,Bolivar,31003600000000,Phillips Farm 36,UL,IW,-78.11129,42.083331
Home Gas Company,Steuben,Wayne,31101000000000,Canfield 1,UL,DW,-77.12096,42.4866
Unknown,Allegany,Wirt,31003700000000,Jakima S 42,UM,NL,-78.14459000000001,42.094322
Unknown,Allegany,Genesee,31003600000000,Oconnor 24,UL,OD,-78.23706,42.052745
Unknown,Allegany,Genesee,31003600000000,Oconnor 47,UL,OD,-78.24369,42.052315
Unknown,Allegany,Bolivar,31003700000000,DF 64,UN,NL,-78.12713000000001,42.034286
Alden Batavia Natural Gas Co.,Erie,Alden,31029000000000,Whartz Estate & Przybylc,UM,GD,-78.55353000000001,42.90806
Case Oil Corp.,Allegany,Alma,31003600000000,Adrian 133,UL,OD,-78.05553,42.07563
