Greener Homes Program - Eligible Ground Source Heat Pumps,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
,,,,,,,,,,,,,,,,
Note- Direct Expansion systems are not eligible,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CL- Closed loop,,,,,,,,,,,,,,,,
OL - Open loop,,,,,,,,,,,,,,,,
COP - Coefficient of performance,,,,,,,,,,,,,,,,
,,,CLOSED LOOP (CL),,,,,,OPEN LOOP (OL),,,,,,,
AHRI Certified Reference No.,Brand name,Model number,"CL Cooling capacity
kW", CL Cooling capacity Btu/hour,"CL Heating capacity
kW","CL Heating capacity
Btu/hour",CL COP cooling ,CL COP heating,"OL Cooling capacity
kW","OL Cooling capacity
Btu/hour","OL Heating capacity 
kW","OL Heating capacity
Btu/hour",OL COP cooling,OL COP heating,,
7519557,Tetco,TVS024*3,7.62,26000,5.69,19400,5.77,4,8.24,28100,7.09,24200,7.62,4.9,,
7519777,Tetco,TVS024*3***1,7.91,27000,5.66,19300,6.33,4.2,8.62,29400,7.03,24000,8.65,5.1,,
7519560,Tetco,TVS024*4,7.62,26000,5.69,19400,5.77,4,8.24,28100,7.09,24200,7.62,4.9,,
7519551,Tetco,TVS024*A,7.62,26000,5.69,19400,5.77,4,8.24,28100,7.09,24200,7.62,4.9,,
7519771,Tetco,TVS024*A***1,7.91,27000,5.66,19300,6.33,4.2,8.62,29400,7.03,24000,8.65,5.1,,
7170611,Tetco,TVS030,8.82,30100,6.54,22300,5.42,3.9,9.09,31000,8.41,28700,6.86,4.7,,
7520240,Tetco,TVS030*****1,9.2,31400,6.8,23200,5.98,4.2,9.96,34000,8.56,29200,8.06,5.1,,
7519566,Tetco,TVS030*2,8.82,30100,6.54,22300,5.42,3.9,9.09,31000,8.41,28700,6.86,4.7,,
7520243,Tetco,TVS030*2***1,9.2,31400,6.8,23200,5.98,4.2,9.96,34000,8.56,29200,8.06,5.1,,
7519569,Tetco,TVS030*3,8.82,30100,6.54,22300,5.42,3.9,9.09,31000,8.41,28700,6.86,4.7,,
