"Name (Firstname, Surname)",Start date of trip (DD/MM/YYYY),Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Karen Gosden ,2019-03-21,1,Birmingham,Meeting with Staff,Private User Car,Standard,Nil return,Nil return,£4.50,Nil return
Karen Gosden ,2019-03-25,2,"East Anglia Staff meetings (Felixstowe, Norwich, Cromer Great Yarmouth)",Meeting with Staff on site,Private User Car,Standard,£95.60,Nil return,£95.60,Nil return
Karen Gosden ,2019-03-28,1,London,Meetings with Staff,Rail,Standard,Nil return,Nil return,£195.50,Nil return
Karen Gosden ,2019-04-02,1,London,Operations Executive team meeting,Rail ,Standard,Nil return,Nil return,£195.50,Nil return
John Paul Marks,2019-04-04,2,Glasgow,Site visit to Northgate and Atlantic Quay ,Aeroplane and Rail,Standard,£77.60,Nil return,£325.04,Nil return
John Paul Marks,2019-01-15,2,Blackpool,Site visit to Blackpool Service Centre and AD away day,Train,Standard,£85.00,Nil return,£179.10,Nil return
John Paul Marks,2019-04-25,2,Edinburgh,Joint ET with Scottish Government,Aeroplane,Standard,£61.65,Nil return,£282.58,Nil return
John Paul Marks,2019-01-31,1,Leeds,PIP visit to Quarry House,Rail,Standard,Nil return,Nil return,£102.75,Nil return
John Paul Marks,2019-02-01,1,Alton,Meeting with Treloars,Rail,Standard,Nil return,Nil return,£22.60,Nil return
John Paul Marks,2019-02-07,1,Dorking,HPDS Embodied Leadership,Train and Taxi,Standard,Nil return,Nil return,£33.40,Nil return
John Paul Marks,2019-03-29,1,Alton,Treloars Trustees Board Meeting,Rail,Standard,Nil return,Nil return,£33.80,Nil return
John Paul Marks,2019-01-24,2,Liverpool,Site visit to Bootle Service Centre,Rail,Standard,£106.40,Nil return,£200.10,Nil return
James Wolfe,2019-02-04,1,Sheffield,Visit to Sheffield - Staff Visit,Rail,Standard,£98.50,Nil return,£98.50,Nil return
James Wolfe,2019-03-14,1,Sheffield,Visit to Sheffield - Staff Visit,Rail,Standard,£98.50,Nil return,£98.50,Nil return
James Wolfe,2019-03-28,1,Sheffield,Visit to Sheffield - SLT,Rail,Standard,£98.50,Nil return,£98.50,Nil return
Iain Walsh,2019-03-13,1,Liverpool,WP Business Event,Rail,Standard,Nil return,Nil return,£68.80,Nil return
Iain Walsh,2019-03-28,1,Sheffield,SLT Visit to Sheffield,Rail,Standard,Nil return,Nil return,£87.00,Nil return
Lara Sampson,2019-01-08,1,London Kings Cross,Team Event,Rail,Standard,Nil return,Nil return,£265.00,Nil return
Lara Sampson,2019-01-15,1,London Kings Cross,Team Event,Rail,Standard,Nil return,Nil return,£201.50,Nil return
Lara Sampson,2019-02-04,1,London Kings Cross,Directorate Event,Rail,Standard,Nil return,Nil return,£265.00,Nil return
Lara Sampson,2019-03-27,1,Leeds,Programme Delivery Executive Team Meeting ,Rail,Standard,Nil return,Nil return,£69.00,Nil return
Lara Sampson,2019-03-27,1,York,Departmental Visit,Rail,Standard,Nil return,Nil return,£134.50,Nil return
Julie Gillis ,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return,Nil return
Stuart Proud,2019-01-30,2,London,Finance Executive Team meeting,Rail,Standard,£20.00,£13.60,£33.60,Nil return
Stuart Proud,2019-02-06,1,Leeds,Planning Meeting,Car,Standard,Nil return,£37.00,£37.00,Nil return
Stuart Proud,2019-02-13,2,London,Meetings ,Rail,Standard,£116.55,£292.60,£409.15,Nil return
Stuart Proud,2019-02-21,1,London,Various F2F meetings,Rail,Standard,Nil return,£355.80,£355.80,Nil return
Stuart Proud,2019-02-27,2,Manchester,Finance Executive Team meeting,Rail,Standard,Nil return,£28.40,£28.40,Nil return
Stuart Proud,2019-03-20,1,London,Programme Board/Stand-up,Rail,Standard,Nil return,£303.00,£303.00,Nil return
Stuart Proud,2019-04-02,3,London,Meetings ,Rail,Standard,£219.50,£292.00,£511.50,Nil return
Stuart Proud,2019-04-12,1,London,Meetings ,Rail,Standard,Nil return,£86.00,£86.00,Nil return
Richard West,2019-01-08,1,London,Operations Executive Team Meeting,Rail,Standard,Nil return,£298.10,£298.10,Nil return
Richard West,2019-01-09,1,Barnsley,Site Visit,Hire Car,Standard,£4.27,£50.90,£55.17,Nil return
Richard West,2019-01-14,1,Sheffield,Site Visit,Hire Car,Standard,£4.17,£69.05,£73.22,Nil return
Richard West,2019-01-15,2,Birmingham & Blackpool,Site Visit and Senior Leaders Meeting,Rail and Hire Car,Standard,£90.60,£180.02,£270.62,Nil return
Richard West,2019-01-31,2,London,Senior Leaders Event,Rail,Standard,£152.39,£313.20,£465.59,Nil return
Richard West,2019-02-05,1,London,Operations Executive Team Meeting,Rail,Standard,£4.90,£298.10,£303.00,Nil return
Richard West,2019-02-13,1,London,Operational Delivery Profession Celebration Event,Rail,Standard,£0.00,£298.10,£298.10,Nil return
Richard West,2019-02-19,2,London,Operations Executive Team Meeting,Rail,Standard,£156.50,£311.20,£467.70,Nil return
Richard West,2019-02-25,1,London,High Potential Development Scheme Review,Rail,Standard,£5.00,£298.10,£302.79,Nil return
Richard West,2019-03-06,1,London,Meeting with DWP Director General,Rail,Standard,£7.00,£298.10,£305.40,Nil return
Richard West,2019-03-08,1,London,Accelerated Solutions Event,Rail,Standard,£5.00,£298.10,£303.10,Nil return
Richard West,2019-03-13,1,London,DWP Operations SCS Event,Rail,Standard,Nil return,£298.10,£298.10,Nil return
Richard West,2019-03-27,3,London,Investiture & Meeting with Permanent Secretary,Rail,Standard,£606.40,£230.75,£837.15,Nil return
