CREATED,BIC NUMBER,ACCOUNT NAME,CITY,STATE,MARKET,APPLICATION TYPE
01/28/2021,BMM-32,SPRINGFIELD GROUP INC.,BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
06/05/2019,HPA-491764,WILD EDIBLES INC.,BRONX,NY,Adjacent to Hunts Point Market,Wholesale Seafood
12/20/2019,HPA-154,GRAMERCY PRODUCE INC.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
06/19/2017,HPM-42,"TONY'S FISH & SEAFOOD, CORP.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
07/25/2019,HPA-499101,"PRONTO PRODUCE, INC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
04/17/2018,HPM-33,"NEBRASKALAND, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
03/09/2021,BMM-16,"LANCASTER QUALITY PORK, INC.",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
05/30/2018,FFM-488936,ALBATROSS FISH CORP.,E. ELMHURST,NY,Hunts Point New Fulton Fish Market,Wholesale Seafood
11/05/2020,FFM-490015,"CROWN FISH, LLC",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
11/01/2019,HPP-476284,SOUTH SIDE GOURMET CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
08/22/2019,BMM-2,"RUBY FREEMAN, INC.",BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
06/22/2017,HPP-480238,"FADARO FANCY FOODS, CORP.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
03/12/2021,FFM-151,"SERRANTONIO & SONS, LLC",OCEAN,NJ,Hunts Point New Fulton Fish Market,Loader
08/03/2017,HPM-53,MASTER PURVEYORS INC,BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
10/06/2020,HPP-113,"C AND J BROTHERS, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
12/09/2020,HPP-23,"D'ARRIGO BROS. CO. OF NEW YORK, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
10/03/2019,HPA-12,ASSOCIATED PRODUCE INC.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
11/26/2018,HPP-105,ISSAM KANAWI CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
11/16/2020,HPA-154,GRAMERCY PRODUCE INC.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
03/22/2019,HPA-76,THE LOBSTER PLACE INC.,BRONX,NY,Adjacent to Hunts Point Market,Wholesale Seafood
08/19/2019,HPA-154,GRAMERCY PRODUCE INC.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
01/02/2018,HPP-121,PORRICELLI INC.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
07/09/2018,BMM-22,R&C BEEF & POULTRY INC.,BROOKLYN,NY,Brooklyn Wholesale Meat Market,Public Wholesale Market
05/04/2020,FFM-143,"FULTON CAFE, INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Market Business
03/19/2019,HPA-72,NO. 1 FISH INC.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
01/23/2019,HPP-71,"MENDEZ INTERNATIONAL TROPICAL FOODS, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
06/06/2018,HPP-162,LD LOGISTICS LLC,BRONX,NY,Hunts Point Produce Market,Market Business
12/20/2019,HPP-148,MABIJO PACKING CORP.,BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
