animal_id,animal_type,primary_color,secondary_color,breed_group,animal_identity,age_now,age_long,tag_no,tag_type,vaccine
A565696,DOG,GOLD,,SETTER/RETRIEVE,480628.0,12Y,12 YEARS,L15-028109,LIC ALTERED,AUDUBON
A003786,DOG,BROWN,,SETTER/RETRIEVE,190052.0,14Y,14 YEARS,D07-031702,LIC ALTERED,BARDSTOWN
A574708,DOG,RED,WHITE,SPANIEL,489654.0,2Y,2 YEARS,U15-004976,RABIES CERT,
A556287,DOG,BROWN,,MIX,471201.0,3Y,3 YEARS,L16-047037,LIC ALTERED,
A595639,CAT,TORTIE,,SHORTHAIR,510551.0,2Y,2 YEARS,985112007516481,MICROCHIP ADO,MAS
A405094,DOG,WHITE,TAN,COLLIE,318149.0,8Y,8 YEARS,L14-005831,LIC ALTERED,
A620045,DOG,TAN,,TOY,534774.0,1Y,1 YEAR,RAB596790,RABIES CERT,BANFIELD
A557723,DOG,TAN,WHITE,MASTIFF,472638.0,6Y,6 YEARS,L17-005403,LIC ALTERED,
A569538,DOG,TAN,WHITE,TOY,484480.0,6Y,6 YEARS,L15-016724,LIC ALTERED,BARBOUR
A571172,CAT,GRAY TABBY,,SHORTHAIR,486115.0,2Y,2 YEARS,985112006516398,MICROCHIP ADO,
A304089,DOG,BLACK,WHITE,TOY,254449.0,11Y,11 YEARS,D09-034192,LIC UNALTERED,BCAH
A630864,DOG,UNKNOWN,,MASTIFF,545498.0,,NO AGE,,,
A527197,DOG,CHOCOLATE,CREAM,SETTER/RETRIEVE,442009.0,4Y,4 YEARS,L16-040372,LIC ALTERED,
A580735,CAT,GRAY,WHITE,SHORTHAIR,495689.0,3Y,3 YEARS,982000361957973,MICROCHIP,
A578845,DOG,BLACK,,SETTER/RETRIEVE,493796.0,11Y,11 YEARS,L15-026761,LIC ALTERED,
A633013,DOG,TAN,WHITE,COLLIE,547637.0,4M,4 MONTHS,985113001500107,MICROCHIP ADO,
A623042,DOG,BROWN,,MASTIFF,537770.0,,NO AGE,,,
A557572,DOG,BLACK,,SETTER/RETRIEVE,472487.0,4Y,4 YEARS,4C034A2D5F,MICROCHIP,
A611729,DOG,WHITE,BROWN,TERRIER,526512.0,3Y,3 YEARS,L16-010359,LIC ALTERED,KHS
A603159,CAT,BLACK,WHITE,LONGHAIR,518062.0,1Y 5M,1 YEAR 5 MONTHS,985112007910786,MICROCHIP ADO,
A610290,DOG,UNKNOWN,,TOY,525098.0,,NO AGE,,,
A566796,DOG,BLACK,,TOY,481732.0,3Y,3 YEARS,L15-029728,LIC 3Y,
A556103,CAT,BLACK,WHITE,SHORTHAIR,471017.0,,NO AGE,L16-003604,LIC ALTERED,
A590422,CAT,GRAY,WHITE,LONGHAIR,505339.0,2Y,2 YEARS,985112007307835,MICROCHIP ADO,
A559568,DOG,BLACK,,SETTER/RETRIEVE,474486.0,10Y,10 YEARS,U15-002057,RABIES CERT,
A591733,DOG,BLACK,BROWN,SPITZ,506650.0,3Y,3 YEARS,L17-038096,LIC ALTERED,
A338114,DOG,WHITE,,HOUND,80190.0,10Y,10 YEARS,D12-035174,LIC ALTERED,PET CALL
A619103,CAT,GRAY,,SHORTHAIR,533833.0,1Y 1M,1 YEAR 1 MONTH,L17-037710,LIC SR,
A585624,DOG,WHITE,BROWN,MASTIFF,500578.0,2Y,2 YEARS,985112006876989,MICROCHIP ADO,MAS
A588245,CAT,ORANGE,,SHORTHAIR,503189.0,8Y,8 YEARS,985112007086547,MICROCHIP ADO,
A558386,DOG,BROWN,BLUE,TOY,473304.0,,NO AGE,,,
A555849,DOG,RED,,TOY,470761.0,,NO AGE,L16-057616,LIC SR,
A557463,DOG,BLACK,WHITE,TERRIER,472378.0,,NO AGE,,,
A629472,DOG,BLACK,,TOY,544107.0,,NO AGE,L17-010864,LIC ALTERED,
A604869,DOG,BLACK,WHITE,TOY,519718.0,12Y,12 YEARS,R16-5817,RABIES CERT,MAS
A602339,DOG,GOLD,,POODLE,517240.0,4Y,4 YEARS,985112003205017,MICROCHIP,
A461953,DOG,WHITE,,TERRIER,376174.0,8Y,8 YEARS,D12-06881,LIC ALTERED,BARBOUR
A610504,CAT,GRAY,,SHORTHAIR,525313.0,2Y,2 YEARS,982000406160373,MICROCHIP,
A526071,DOG,RED,,TOY,440874.0,5Y,5 YEARS,L14-048143,LIC ALTERED,ST MATTS
A565267,CAT,BRN TABBY,,SHORTHAIR,480198.0,5Y,5 YEARS,L15-032497,LIC ALTERED,CHEROKEE
A568830,CAT,GRAY,,SHORTHAIR,483772.0,2Y,2 YEARS,L15-050329,LIC ALTERED,LMAS
A539887,DOG,TAN,,SHEPHERD,454757.0,3Y,3 YEARS,L16-018843,LIC ALTERED,GAILOR
A573749,DOG,BR BRINDLE,WHITE,MASTIFF,488692.0,2Y,2 YEARS,985112006925547,MICROCHIP ADO,MAS
A560370,DOG,GRAY,,MASTIFF,475282.0,4Y,4 YEARS,L15-054931,LIC UNALTERED,SHIVELY
A605802,DOG,BLACK,WHITE,SHEPHERD,520651.0,1Y 8M,1 YEAR 8 MONTHS,L17-021185,LIC ALTERED,
A602315,DOG,WHITE,BLACK,TOY,517216.0,13Y,13 YEARS,985112008058177,MICROCHIP RTO,
A563002,DOG,BLACK,,SETTER/RETRIEVE,477927.0,3Y,3 YEARS,985112005439343,MICROCHIP ADO,
A569799,DOG,WHITE,,SETTER/RETRIEVE,484742.0,2Y,2 YEARS,L17-043876,LIC ALTERED,
A591534,DOG,BR BRINDLE,WHITE,MASTIFF,506447.0,8Y,8 YEARS,,,
A578917,DOG,WHITE,,POODLE,493868.0,7Y,7 YEARS,,,
A567694,CAT,GRAY TIGER,,SHORTHAIR,482633.0,2Y,2 YEARS,,,
A625145,DOG,TRICOLOR,,TOY,539879.0,8Y,8 YEARS,L17-034804,LIC ALTERED,
A625733,DOG,BR BRINDLE,WHITE,MASTIFF,540468.0,9M,9 MONTHS,,,
A563559,CAT,ORANGE,,LONGHAIR,478485.0,,NO AGE,L14-007634,LIC ALTERED,KHS
A553402,CAT,BRN TABBY,,SHORTHAIR,468316.0,,NO AGE,L16-0VOID14320,RAB VAC CERT.,
A590758,DOG,UNKNOWN,,SETTER/RETRIEVE,505675.0,,NO AGE,,,
A591156,DOG,TAN,BLACK,MASTIFF,506074.0,6Y,6 YEARS,L16-039557,LIC ALTERED,
A481632,DOG,BLACK,WHITE,TERRIER,396127.0,10Y,10 YEARS,RAB-000,RABIES CERT,BANFIELD
A585780,DOG,TAN,,TERRIER,500738.0,2Y,2 YEARS,L16-005642,LIC ALTERED,MAS
A422635,DOG,BLACK,WHITE,TERRIER,336070.0,9Y,9 YEARS,L14-023283,LIC ALTERED,
A578368,DOG,BLACK,TAN,HOUND,493320.0,3Y,3 YEARS,982000365456756,MICROCHIP,
A570689,DOG,BLACK,,TOY,485632.0,9Y,9 YEARS,L17-051556,LIC ALTERED,
A616634,DOG,UNKNOWN,,HOUND,531387.0,,NO AGE,,,
A595674,DOG,BROWN,WHITE,MASTIFF,510589.0,2Y,2 YEARS,L16-006475,LIC ALTERED,MAS
A553592,DOG,RED,,SPANIEL,468506.0,15Y,15 YEARS,L17-048514,LIC ALTERED,
A428386,DOG,BROWN,TAN,TOY,341952.0,8Y,8 YEARS,L14-043993,LIC ALTERED,
A318753,DOG,RED,WHITE,SPANIEL,124414.0,,NO AGE,L15-061611,LIC ALTERED,DIXIE
A482637,DOG,BROWN,BLACK,SHEPHERD,397154.0,6Y,6 YEARS,L14-012441,LIC SR,JOHNSON
A404336,DOG,BLACK,WHITE,TOY,317376.0,,NO AGE,D11-038696,LIC ALTERED,GAILOR
A576935,DOG,TRICOLOR,,SPITZ,491884.0,2Y,2 YEARS,982000402935826,MICROCHIP,
A578367,DOG,UNKNOWN,,,493319.0,9Y,9 YEARS,L15-020702,LIC ALTERED,
A576383,BIRD,RED,,FOWL,491332.0,,NO AGE,,,
