Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),Unnamed: 10,Unnamed: 11
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Staff Training,Human Resources  ,28.02.2018,16.03.2018,GPC02180000157,469.50,,
Stockport MBC,Services to People,Childrens & Educational Services,I W SUPPLIES,Furniture and Equipment,Furniture & Soft Furnishings  ,14.02.2018,16.03.2018,GPC02180000158,80.00,,
Stockport MBC,Services to People,Childrens & Educational Services,HOMEBASE LTD,Furniture and Equipment,Furniture & Soft Furnishings  ,14.02.2018,16.03.2018,GPC02180000159,132.89,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.CREDIT.TRADE.C,Furniture and Equipment,Furniture & Soft Furnishings  ,13.02.2018,16.03.2018,GPC02180000160,165.98,,
Stockport MBC,Services to People,Childrens & Educational Services,WEST COAST TRAINS,Leasing /Transport Hire,Vehicle Management Leasing ,09.02.2018,16.03.2018,GPC02180000161,5.25,,
Stockport MBC,Services to People,Childrens & Educational Services,POYNTON STN TO,Leasing /Transport Hire,Vehicle Management Leasing ,08.02.2018,16.03.2018,GPC02180000162,5.25,,
Stockport MBC,Services to Place,Housing (General Fund) Services,CIEH,Staff Training,Human Resources  ,13.02.2018,16.03.2018,GPC02180000163,378.00,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,26.02.2018,16.03.2018,GPC02180000164,170.70,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.02.2018,16.03.2018,GPC02180000165,83.80,,
Stockport MBC,Services to People,Childrens & Educational Services,FLYBE.COM AVW3N6       0,Travelling Expenses,Human Resources Travel & Subsistence ,01.03.2018,16.03.2018,GPC02180000166,132.99,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.STOCKPORT.GOV.UK,Care Payments,Social Community Care Supplies & Services  ,01.03.2018,16.03.2018,GPC02180000167,10.00,,
Stockport MBC,Services to People,Childrens & Educational Services,LANCASHIRE CC WEBSITE,Care Payments,Social Community Care Supplies & Services  ,26.02.2018,16.03.2018,GPC02180000168,-20.00,,
Stockport MBC,Services to People,Childrens & Educational Services,LANCASHIRE CC WEBSITE,Care Payments,Social Community Care Supplies & Services  ,26.02.2018,16.03.2018,GPC02180000169,20.00,,
