"Name (Firstname, Surname)",Start date of trip (DD/MM/YYYY),Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Charu Gorasia,2017-11-08,1 Day,Manchester,Departmental Business,Rail,Standard,£88.60,,£251.15,
Charu Gorasia,2017-11-21,1 Day,Birmingham,Departmental Business,Rail,Standard,,,£83.55,
Charu Gorasia,2017-11-23,1 Day,Manchester,Departmental Business,Rail,Standard,£8.95,,£165.90,
,,,,,,,,,,
Stuart Proud,2017-10-01,3 Days,London,Departmental Business,Rail,Standard,£284.20,,£447.00,
Stuart Proud,2017-10-09,2 Days,London,Departmental Business,Rail,Standard,£115.60,,£283.40,
Stuart Proud,2017-10-11,1 Day,Leeds,Departmental Business,Car,,,,£17.50,
Stuart Proud,2017-10-12,1 Day,Birmingham,Departmental Business,Rail,Standard,,,£90.10,
Stuart Proud,2017-10-16,1 Day,Warrington,Departmental Business,Car,,,,£18.00,
Stuart Proud,2017-10-17,1 Day,Newport,Visit to Shared Services Provider,Rail,Standard,,,£76.30,
Stuart Proud,2017-10-18,1 Day,London,Departmental Business,Rail,Standard,,,£194.50,
Stuart Proud,2017-10-30,1 Day,Leeds,Leading Target Operating Model workshop,Car,,,,£17.50,
Stuart Proud,2017-10-31,2 Days,London,Departmental Business,Rail,Standard,£120.60,,£576.60,
Stuart Proud,2017-11-03,1 Day,London,Departmental Business,Rail,Standard,,,£237.00,
Stuart Proud,2017-11-08,1 Day,Newcastle,Departmental Business,Rail,Standard,,,£100.10,
Stuart Proud,2017-11-13,1 day,London,Departmental Business,Rail,Standard,,,£288.10,
Stuart Proud,2017-11-15,2 Days,Birmingham,Departmental Business,Rail,Standard,£74.20,,£149.80,
Stuart Proud,2017-11-30,1 Day,London,Departmental Business,Rail,Standard,£213.30,,£213.30,
Stuart Proud,2017-12-04,1 Day,London,Departmental Business,Rail,Standard,£297.00,,£297.00,
Stuart Proud,2017-12-06,2 Days,London,Departmental Business,Rail,Standard,£338.00,,£458.60,
Stuart Proud,2017-12-14,1 Day,London,Departmental Business,Rail,Standard,£317.50,,£317.50,
,,,,,,,,,,
Steve Buckingham,2017-10-03,2 Days,London,Departmental Business,Car/Rail,Standard,£153.50,,£517.70,
Steve Buckingham,2017-10-05,1 Day,London,Departmental Business,Car/Rail,Standard,£20.00,,£324.00,
Steve Buckingham,2017-10-10,2 Days,London,Departmental Business,Car/Rail,Standard,£133.00,,£477.20,
Steve Buckingham,2017-10-19,1 Day,London,Departmental Business,Car/Rail,Standard,£5.00,,£367.90,
Steve Buckingham,2017-10-20,1 Day,Portsmouth,Navy Audit Committee,Rail/Air/Car,Standard,,,£146.63,
Steve Buckingham,2017-10-24,2 Days,Warrington,Departmental Business,Car/Rail,Standard,,,£678.09,
Steve Buckingham,2017-10-31,1 Day,Leeds,Departmental Business,Car/Rail,Standard,,,£184.60,
Steve Buckingham,2017-11-01,3 Days,London,Departmental Business,Car/Rail,Standard,£173.25,,£538.25,
Steve Buckingham,2017-11-07,3 Days,Leeds/London/Manchester,Departmental Business,Car/Rail,Standard,£217.28,,£901.28,
Steve Buckingham,2017-11-13,2 Days,London,Departmental Business,Car/Rail,Standard,£124.50,,£488.70,
Steve Buckingham,2017-11-16,2 Days,London,Departmental Business,Car/Rail,Standard,£139.85,,£789.05,
