name,borough_name,website,os_addressbase_uprn,borough_code,ward_2018_name,ward_2018_code,address1,address2,address3,longitude,latitude,easting,northing,runtime
Maestro Arts & Entertainment Centre,Lewisham,,10023230557.0,E09000023,Forest Hill,E05000444,Regent House Business Centre 291,Kirkdale,Lewisham,-0.060300691110804,51.43273327753912,534930.9634372246,172198.92614570074,04/11/2021
The Alma,Bexley,,100000000000.0,E09000004,Sidcup,E05011230,10 Alma Road,Bexley,,0.1037999175075224,51.43216016667999,546338.9603372815,172449.92607384542,04/11/2021
The Prince Of Wales,Richmond Upon Thames,,100000000000.0,E09000027,West Twickenham,E05000532,136 Hampton Road,Richmond Upon Thames,,-0.3481941092751137,51.4395268765513,514902.9688794642,172463.9260732095,04/11/2021
Five Bells,Lambeth,www.fivebellspub.co.uk,100000000000.0,E09000022,St. Leonard's,E05000428,68-70 Streatham High Road,Lambeth,,-0.1283196233337309,51.43629474673781,530192.9647235762,172471.92606991518,04/11/2021
Porky's Wine Bar,Lambeth,,100000000000.0,E09000022,Streatham Hill,E05000430,23-27 Sternhold Avenue,Lambeth,,-0.1279958966595669,51.43858273636055,530208.9647198159,172726.9260004356,04/11/2021
The Prince Albert,Richmond Upon Thames,www.princealberttwickenham.co.uk,100000000000.0,E09000027,West Twickenham,E05000532,30 Hampton Road,Richmond Upon Thames,,-0.344285564823492,51.44216939742316,515167.9688073045,172763.92599100835,04/11/2021
The White Hart,Lambeth,www.whitehart-tulsehill.com,100000000000.0,E09000022,Thurlow Park,E05000434,367 Norwood Road,Lambeth,,-0.105896628456232,51.43993619774154,531740.9643028709,172916.92594686913,04/11/2021
The Railway Tavern,Lambeth,www.therailwaytulsehill.co.uk,100000000000.0,E09000022,Thurlow Park,E05000434,7 Station Rise,Lambeth,,-0.1053840531584567,51.440152731881206,531775.9642932734,172941.92594002164,04/11/2021
Sussex Arms,Richmond Upon Thames,www.thesussexarmstwickenham.co.uk,100000000000.0,E09000027,West Twickenham,E05000532,42309 Staines Road,Richmond Upon Thames,,-0.3458572403291027,51.444070987527866,515053.96883881226,172972.925933673,04/11/2021
The Bedford,Wandsworth,www.thebedford.com,100000000000.0,E09000032,Balham,E05000610,77 Bedford Hill,Wandsworth,,-0.1492693561952485,51.44267957995069,528718.965126215,173144.92588812468,04/11/2021
The Windmill,Lewisham,www.windmillbrixton.co.uk,100000000000.0,E09000023,Perry Vale,E05000450,22 Blenheim Gardens,Lambeth,,-0.0502010313431171,51.44152254603548,535606.9632524624,173194.92587350006,04/11/2021
Hagen & Hyde,Wandsworth,www.hagenandhyde.com,121049927.0,E09000032,Balham,E05000610,157 Balham High Road,Wandsworth,,-0.1520290023496868,51.44382922550289,528523.9651788943,173267.92585485015,04/11/2021
