Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals,Other (including hospitality given),Cost of Travel,"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Ben  Smith,2019-06-27,1,Oxford,Oxford County Council Meeting,Rail,Standard,£0.00,£0.00,£33.00,33.00,Nil Return
Bernadette  Kelly,2019-06-06,2,Sheffield,"Tour/Meeting with Key Stakeholders (John Mothersole, Lorraine Manley, Steve Edwards, Mark Lynam, Tom Finnegan, Dan Jarvis, Tom Riordan, Joanne Roney, Ian Curryer, Helen Dickinson, Philip Edwards, Nick Kavanagh, Chris Murray and Will Mpplebeck). ",Rail,Standard,£103.28,£0.00,£214.00,317.28,Nil Return
Bernadette  Kelly,2019-06-17,2,Swansea,DVLA 50th Anniversary,Rail,Standard,£132.00,£0.00,£84.30,216.30,Nil Return
Bernadette  Kelly,2019-06-18,1,London,DVLA Office Visit,Rail,Standard,£0.00,£0.00,£34.00,34.00,Nil Return
Bernadette  Kelly,2019-06-19,1,London,DVLA Office Visit,Rail,Standard,£0.00,£0.00,£80.00,80.00,Nil Return
Bernadette  Kelly,2019-06-24,2,Cardiff,Civil Service Live,Rail,Standard,£307.70,£0.00,£113.90,421.60,Nil Return
Caroline Botwood,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Caroline  Low,2019-05-15,1,Hayes/Harlington,Visiting Villages near Heathrow,Rail,Standard,£0.00,£0.00,£14.50,14.50,Nil Return
Cavendish  Elithorn,2019-04-05,1,London,Crossrail 2 Route Tour,Rail,Standard,£0.00,£0.00,£15.60,15.60,Nil Return
Cavendish  Elithorn,2019-04-25,1,Oxford,Attending Major Projects Leadership Academy,Rail,Standard,£0.00,£0.00,£28.40,28.40,Nil Return
Cavendish  Elithorn,2019-05-01,1,Leatherhead,Meeting with Coast 2 Capital LEP,Rail,Standard,£0.00,£0.00,£12.80,12.80,Nil Return
