animal_id,animal_type,secondary_color,breed_group,primary_breed,tag_no,tag_type,tag_subtype,vaccine,serial_no,vet_id,location (1)
A594474,DOG,,SPITZ,SIBERIAN HUSKY,L16-012030,LIC ALTERED,HLP SCAN,BARDSTOWN,4684386,G000060,SHELTER
A593677,DOG,BROWN,TOY,YORKSHIRE TERR,,,,,,,
A557817,CAT,TORTIE,SHORTHAIR,DOMESTIC SH,,,,,,,
A593187,CAT,TORTIE,SHORTHAIR,DOMESTIC SH,,,,,,,
A630337,CAT,,SHORTHAIR,DOMESTIC SH,,,,,,,
A570024,DOG,WHITE,MASTIFF,PIT BULL,985112005216612,MICROCHIP ADO,HOME AGAIN,,,,SHELTER
A559961,DOG,,SETTER/RETRIEVE,GREAT PYRENEES,985112000443975,MICROCHIP,HLP IMPORT,,3515872,,LOCKBOX
A486815,DOG,TAN,SPANIEL,CAVALIER SPAN,D14-043917,LIC SR,MAIL,PROSPECT,JF,,SHELTER
A355130,DOG,WHITE,MASTIFF,BOXER,D09-032934,LIC ALTERED,,MAS,,,SHELTER
A632745,DOG,,SETTER/RETRIEVE,GOLDEN RETR,L17-003806,LIC ALTERED,VET,,SM,G000059,LICENSE
A605041,CAT,,SHORTHAIR,DOMESTIC SH,985112007902778,MICROCHIP RTO,HOME AGAIN,,ARL,G000251,SHELTER
A360425,DOG,,TOY,CHIHUAHUA SH,022610628,MICROCHIP ADO,AVID,,,,SHELTER
