Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins
09/08/1997 22:00,120101,1,60,2,West Bound,2,South,62,0,,6,0,
09/08/1997 23:00,120101,1,60,1,East Bound,2,South,59,0,,6,0,
09/08/1997 23:00,120101,1,60,2,West Bound,2,South,42,0,,6,0,
10/08/1997 00:00,120101,1,60,1,East Bound,2,South,31,0,,6,0,
10/08/1997 00:00,120101,1,60,2,West Bound,2,South,32,0,,6,0,
10/08/1997 01:00,120101,1,60,1,East Bound,2,South,19,0,,6,0,
10/08/1997 01:00,120101,1,60,2,West Bound,2,South,20,0,,6,0,
10/08/1997 02:00,120101,1,60,1,East Bound,2,South,9,0,,6,0,
10/08/1997 02:00,120101,1,60,2,West Bound,2,South,12,0,,6,0,
10/08/1997 03:00,120101,1,60,1,East Bound,2,South,6,0,,6,0,
10/08/1997 03:00,120101,1,60,2,West Bound,2,South,12,0,,6,0,
10/08/1997 04:00,120101,1,60,1,East Bound,2,South,8,0,,6,0,
10/08/1997 04:00,120101,1,60,2,West Bound,2,South,9,0,,6,0,
10/08/1997 05:00,120101,1,60,1,East Bound,2,South,9,0,,6,0,
10/08/1997 05:00,120101,1,60,2,West Bound,2,South,7,0,,6,0,
10/08/1997 06:00,120101,1,60,1,East Bound,2,South,19,0,,6,0,
10/08/1997 06:00,120101,1,60,2,West Bound,2,South,19,0,,6,0,
10/08/1997 07:00,120101,1,60,1,East Bound,2,South,36,0,,6,0,
10/08/1997 07:00,120101,1,60,2,West Bound,2,South,45,0,,6,0,
10/08/1997 08:00,120101,1,60,1,East Bound,2,South,57,0,,6,0,
10/08/1997 08:00,120101,1,60,2,West Bound,2,South,87,0,,6,0,
10/08/1997 09:00,120101,1,60,1,East Bound,2,South,89,0,,6,0,
10/08/1997 09:00,120101,1,60,2,West Bound,2,South,149,0,,6,0,
10/08/1997 10:00,120101,1,60,1,East Bound,2,South,132,0,,6,0,
10/08/1997 10:00,120101,1,60,2,West Bound,2,South,212,0,,6,0,
10/08/1997 11:00,120101,1,60,1,East Bound,2,South,184,0,,6,0,
10/08/1997 11:00,120101,1,60,2,West Bound,2,South,231,0,,6,0,
10/08/1997 12:00,120101,1,60,1,East Bound,2,South,242,0,,6,0,
10/08/1997 12:00,120101,1,60,2,West Bound,2,South,238,0,,6,0,
