Key-Clé,CoAppNm,CoAppRoleCD,CoAppRoleEN,CoAppRoleFR,CoAppOrgID,CoAppOrgNm,ProvinceEN,ProvinceFR,CountryEN,PaysFR,FiscalYear-AnnéeFinancière
406974,"Cooke, Anne M",KU,Knowledge User,Utilisateur des connaissances,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unknown,Inconnu,Unspecified/Non Spécifié,Unspecified/Non Spécifié,200405
406974,"Best, Lynette S",KU,Knowledge User,Utilisateur des connaissances,PROC,Providence Health Care (Vancouver),British Columbia,Colombie-Britannique,Canada,Canada,200405
406974,"Bees, Fiona",KU,Knowledge User,Utilisateur des connaissances,BCAV,"BC Cancer, part of PHSA (Vancouver)",British Columbia,Colombie-Britannique,Canada,Canada,200405
406974,"Seminuk, Pat",KU,Knowledge User,Utilisateur des connaissances,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unknown,Inconnu,Unspecified/Non Spécifié,Unspecified/Non Spécifié,200405
406974,"Ramsden, Murray G",KU,Knowledge User,Utilisateur des connaissances,Unspecified/Non Spécifié,Unspecified/Non Spécifié,Unknown,Inconnu,Unspecified/Non Spécifié,Unspecified/Non Spécifié,200405
529458,"Roy, Bernard",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFBA,Université Laval,Québec,Québec,Canada,Canada,200405
529458,"Hamelin, Anne-Marie",CO,Co-Investigator,Co-chercheur,CFBA,Université Laval,Québec,Québec,Canada,Canada,200405
129867,"Hanning, Rhona M",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CENA,University of Waterloo (Ontario),Ontario,Ontario,Canada,Canada,200405
129867,"Tsuji, Leonard J",CO,Co-Investigator,Co-chercheur,UTSC,University of Toronto Scarborough (ON),Ontario,Ontario,Canada,Canada,200405
692275,"Siciliano, Steven D",CO,Co-Investigator,Co-chercheur,CCAA,University of Saskatchewan,Saskatchewan,Saskatchewan,Canada,Canada,200405
692275,"Wilson Cheechoo, Susan V",CO,Co-Investigator,Co-chercheur,CCAA,University of Saskatchewan,Saskatchewan,Saskatchewan,Canada,Canada,200405
692275,"Wickstrom, Mark L",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CCAA,University of Saskatchewan,Saskatchewan,Saskatchewan,Canada,Canada,200405
693666,"Holowaty, Eric J",CO,Co-Investigator,Co-chercheur,AEGL,Ontario Health - CCO (Toronto),Ontario,Ontario,Canada,Canada,200405
693666,"Klar, Neil",CO,Co-Investigator,Co-chercheur,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200405
693666,"Sullivan, Terrence",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200405
693666,"Golden, Brian R",CO,Co-Investigator,Co-chercheur,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200405
693666,"Paszat, Lawrence (Larry) F",CO,Co-Investigator,Co-chercheur,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200405
693666,"Dobrow, Mark",CO,Co-Investigator,Co-chercheur,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200405
164062,"Lehmann, Ordan J",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200405
785856,"Martin, Alberto",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEAA,University of Toronto,Ontario,Ontario,Canada,Canada,200405
309183,"Martinez-Trujillo, Julio C",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CEEA,University of Western Ontario,Ontario,Ontario,Canada,Canada,200405
569754,"Michelakis, Evangelos D",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAD,University of Alberta Hospital (Edmonton),Alberta,Alberta,Canada,Canada,200405
384464,"Otis, Joanne",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFEB,Université du Québec à Montréal,Québec,Québec,Canada,Canada,200405
915064,"Rouleau, Guy A",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CFAA,McGill University/Université McGill,Québec,Québec,Canada,Canada,200405
270907,"Smiley, James R",NPI,Nominated Principal Investigator,Chercheur principal qui parraine,CBAA,University of Alberta,Alberta,Alberta,Canada,Canada,200405
