County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,State Conservation Rank,Global Conservation Rank
Essex,Plant,Flowering Plants,Other Flowering Plants,Subularia aquatica ssp. americana,Water Awlwort,S1S2,G5T5
Steuben,Animal,Birds,Loons,Gavia immer,Common Loon,S4,G5
Broome,Animal,Birds,Swallows,Progne subis,Purple Martin,S4B,G5
Nassau,Plant,Flowering Plants,Sedges,Carex polymorpha,Variable Sedge,SX,G3
Madison,Plant,Flowering Plants,Other Flowering Plants,Anticlea elegans var. glauca,Mountain Death Camas,S2,G5T4T5
Herkimer,Animal,Birds,Mockingbirds and Thrashers,Dumetella carolinensis,Gray Catbird,S5B,G5
Dutchess,Plant,Flowering Plants,Sedges,Carex retroflexa,Reflexed Sedge,S2S3,G5
Saratoga,Animal,Dragonflies and Damselflies,Dragonflies,Stylurus plagiatus,Russet-tipped Clubtail,S1,G5
Sullivan,Animal,Reptiles,Snakes,Coluber constrictor,Racer,S4,G5
Clinton,Animal,Birds,Nuthatches,Sitta canadensis,Red-breasted Nuthatch,S5,G5
Niagara,Plant,Flowering Plants,Orchids,Cypripedium parviflorum var. pubescens,Large Yellow Lady's Slipper,S3,G5T5
Hamilton,Natural Community,Uplands,Forested Uplands,Pine-northern hardwood forest,Pine-Northern Hardwood Forest,S4,G4
Hamilton,Animal,Reptiles,Snakes,Storeria occipitomaculata,Red-bellied Snake,S5,G5
Ontario,Animal,Birds,Wood-Warblers,Setophaga virens,Black-throated Green Warbler,S5B,G5
Washington,Animal,Birds,Wood-Warblers,Parkesia motacilla,Louisiana Waterthrush,S5B,G5
St. Lawrence,Animal,Reptiles,Turtles,Sternotherus odoratus,Common Musk Turtle,S5,G5
Clinton,Animal,Reptiles,Turtles,Apalone spinifera,Spiny Softshell,S2S3,G5
