Production Year,Operator,County,Town,Producing Formation,Injection Wells,Disposal Wells,"Oil Produced, bbl",Purchaser Codes
1991,"Solomons Resources, LLC",Cattaraugus,OLEAN,BRADFORD,0,0,0,OC
1996,Meridian Exploration Corp.,Cayuga,SPRINGPORT,QUEENSTON,0,0,0,GX
1993,TGX Corp.,Chautauqua,GERRY,ONONDAGA-BASS ISLAND,0,0,618,"GH,OA,OB"
1991,"Stebell,  Jean M.",Chautauqua,WESTFIELD,MEDINA,0,0,0,
1993,Columbia Natural Resources  LLC,Chautauqua,CHERRY CREEK,MEDINA,0,0,0,GH
1982,"Lenape Resources Corp., The",Wyoming,JAVA,MEDINA,0,0,0,
1993,United States Gypsum Co.,Erie,ALDEN,MEDINA,0,0,0,GR
1992,"Jennings, Earl",Allegany,WIRT,RICHBURG,0,0,23,OC
1998,Wells College,Cayuga,LEDYARD,QUEENSTON,0,0,0,
1984,"Vossler, Merritt",Allegany,ALMA,RICHBURG,0,0,51,OB
1989,"Chautauqua Energy, Inc.",Chautauqua,CHAUTAUQUA,MEDINA,0,0,0,"GH,GX"
1981,"Rupp, Harriett E.",Cattaraugus,PERRYSBURG,MEDINA,0,0,0,
1986,"Doran & Associates, Inc.",Chautauqua,MINA,MEDINA,0,0,0,GH
1981,"Envirogas, Inc.",Chautauqua,DUNKIRK,MEDINA,0,0,0,GK
1999,Seneca Resources Corporation,Erie,EVANS,MEDINA,0,0,0,GK
1989,Osborne & Kunselman,Genesee,PAVILION,MEDINA,0,0,0,
1983,National Fuel Gas Supply Corp.,Erie,COLLINS,DEVONIAN SHALE,0,0,0,
1985,Whiting Well Partnership,Erie,NEWSTEAD,MEDINA,0,0,0,GX
1999,Cunningham Natural Gas Corp.,Allegany,WILLING,ORISKANY,0,0,0,
1993,"N.E.A. Cross of N.Y., Inc.",Chautauqua,FRENCH CREEK,MEDINA,0,0,0,GX
1993,TGX Corp.,Chautauqua,ARKWRIGHT,MEDINA,0,0,0,GK
1987,National Fuel Gas Supply Corp.,Erie,NORTH COLLINS,AKRON,0,0,0,GK
1999,"Geo Ventures, Inc.",Chautauqua,WESTFIELD,MEDINA,0,0,0,GX
1986,"Wycoki, Michael",Erie,ELMA,MEDINA,0,0,0,GK
1992,Miller Brewing Co.,Cayuga,AURELIUS,QUEENSTON,0,0,0,GB
1992,"Industrial Patterns, Inc.",Allegany,GENESEE,RICHBURG,0,0,0,
1995,"Wells,  Jean",Cattaraugus,ELLICOTTVILLE,MEDINA,0,0,0,
1992,"Copper Ridge Oil, Inc.",Cattaraugus,CARROLLTON,BRADFORD,0,0,230,OA
1982,Annex Oil Co.,Allegany,CLARKSVILLE,CLARKSVILLE,0,0,0,
1993,Transfuel Resources Co.,Cattaraugus,ELLICOTTVILLE,MEDINA,0,0,0,GK
1986,National Fuel Gas Supply Corp.,Erie,BRANT,CLINTON,0,0,0,GK
1998,Estate of Helmut & Sonja Diehl,Cattaraugus,FREEDOM,MEDINA,0,0,0,
1996,Eclipse Gas Drilling No 2,Erie,NEWSTEAD,MEDINA,0,0,0,GE
1998,Estate of Merrell C. Smith,Erie,ELMA,MEDINA,0,0,0,
1999,East Aurora Union Free School District,Erie,AURORA,MEDINA,0,0,0,
1983,"Barberi, Elberta",Erie,HOLLAND,MEDINA,0,0,0,
1985,Quaker State Corp.,Allegany,ALMA,RICHBURG,30,0,6741,OB
1979,"Energy Oil, Inc.",Erie,GENESEE,MEDINA,0,0,0,"GK,GQ"
1981,"Wormley, Fred K",Allegany,ANDOVER,RICHBURG,0,0,78,OB
