animal_id,animal_type,breed_group,primary_breed,tag_no,tag_type,tag_subtype,price,tag_date,tag_exp,tag_stat
A612245,DOG,TOY,YORKSHIRE TERR,985112005469335,MICROCHIP,HLP SCAN,0.0,2017-03-05 00:00:00,,CURRENT
A577985,CAT,SHORTHAIR,DOMESTIC SH,L16-038033,LIC ALTERED,HLP WEB,10.5,2016-04-08 00:00:00,2017-03-26 00:00:00,CURRENT
A573566,CAT,LONGHAIR,DOMESTIC LH,,,,,,,
A614683,DOG,HOUND,BEAGLE,L17-013118,LIC ALTERED,ADOPT,10.0,2017-04-15 00:00:00,2018-04-13 00:00:00,CURRENT
A583983,CAT,SHORTHAIR,DOMESTIC SH,985112006892275,MICROCHIP ADO,HOME AGAIN,25.0,2016-03-22 00:00:00,2017-03-22 00:00:00,CURRENT
A404338,DOG,SPITZ,SIBERIAN HUSKY,L16-018900,LIC ALTERED,HLP SCAN,10.0,2016-08-30 00:00:00,2017-06-28 00:00:00,CURRENT
A610452,DOG,SETTER/RETRIEVE,GOLDEN RETR,RAB0145469,RABIES CERT,VET,0.0,2017-02-16 00:00:00,2017-01-16 00:00:00,CURRENT
A574716,CAT,SHORTHAIR,BENGAL,RAB9722111,RABIES CERT,VET,0.0,2016-12-28 00:00:00,2016-11-02 00:00:00,CURRENT
A604614,CAT,LONGHAIR,DOMESTIC LH,985112007897049,MICROCHIP ADO,HOME AGAIN,25.0,2017-01-03 00:00:00,2018-01-03 00:00:00,CURRENT
A590539,DOG,SHEPHERD,GERM SHEPHERD,L15-046573,LIC ALTERED,HLP SCAN,10.0,2016-05-18 00:00:00,2016-10-01 00:00:00,RENEWED
A411179,DOG,TERRIER,RAT TERRIER,D12-024475,LIC ALTERED,ONLINE,9.0,2011-04-04 00:00:00,2012-04-02 00:00:00,RENEWED
A626071,DOG,MIX,MIX,L17-032458,LIC ALTERED,HLP SCAN,10.0,2017-09-26 00:00:00,2018-06-21 00:00:00,CURRENT
A594946,DOG,HOUND,BEAGLE,,,,,,,
A551794,DOG,TOY,POMERANIAN,L15-061200,LIC ALTERED,VET,9.0,2016-01-26 00:00:00,2016-12-19 00:00:00,RENEWED
A616879,DOG,MASTIFF,PIT BULL,,,,,,,
A610197,CAT,SHORTHAIR,DOMESTIC SH,,,,,,,
A301511,DOG,MASTIFF,BOXER,L15-034542,LIC ALTERED,HLP SCAN,9.5,2015-03-24 00:00:00,2016-01-29 00:00:00,RENEWED
A588836,DOG,TOY,SHIH TZU,,,,,,,
A618992,DOG,TERRIER,RAT TERRIER,L17-037749,LIC ALTERED,HLP SCAN,10.0,2017-05-23 00:00:00,2018-04-18 00:00:00,CURRENT
A614122,CAT,SHORTHAIR,DOMESTIC SH,L17-041311,LIC ALTERED,VET,10.0,2017-03-29 00:00:00,2018-01-25 00:00:00,CURRENT
A220778,DOG,TOY,SHIH TZU,D07-013101,LIC ALTERED,,7.0,2006-06-28 00:00:00,2007-06-10 00:00:00,RENEWED
A447904,DOG,MASTIFF,GREAT DANE,L14-057140,LIC ALTERED,MAIL,9.0,2014-09-09 00:00:00,2015-08-20 00:00:00,RENEWED
A626951,DOG,COLLIE,COLLIE ROUGH,L17-007651,LIC 3Y,HLP SCAN,27.0,2017-09-28 00:00:00,2020-07-03 00:00:00,CURRENT
A559332,DOG,TOY,CHIHUAHUA SH,L17-042453,LIC SR,HLP SCAN,5.0,2017-05-25 00:00:00,2018-02-27 00:00:00,TEMPORARY
