Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Emma Haddad,04/09/2019,3,Cambridge,Executive team Away Day & DWP Summer School,Car,NIL return,£20.00,NIL return,£51.00,NIL return
Emma Haddad,13/09/2019,1,High Wycombe,Executive Team Business Continuity Exercise,Rail,Standard,NIL return,NIL return,£26.20,NIL return
Emma Haddad,18/09/2019,1,Nuneaton,Staff Engagement Sessions,Rail,Standard,NIL return,NIL return,£21.40,NIL return
Richard West,09/07/2019,4,"Dorking, UK, England ",High Potential Development Scheme Workshop ,Rail ,Standard,£133.73,£359.00,£492.73,NIL return
Richard West,16/07/2019,1,"London, UK , England ",Service Transformation Board ,Rail ,Standard,£0.00,£298.10,£298.10,NIL return
Richard West,17/07/2019,1,"Newcastle, UK, England ",Site Visit to Tyne View Park,Car,NIL return,£4.77,£84.42,£89.19,NIL return
Richard West,14/08/2019,2,"London, UK , England ",DWP Away Day ,Rail ,Standard,£144.62,£260.45,£405.07,NIL return
Richard West,20/08/2019,1,"London, UK , England ",Meeting on Service Design Transformation Model ,Rail ,Standard,£4.60,£298.60,£303.20,NIL return
Richard West,03/09/2019,1,"London, UK , England ",Service Excellence Executive  Team Meeting ,Rail ,Standard,£0.00,£302.60,£302.60,NIL return
Richard West,04/09/2019,1,"Sheffield, UK, England",Site Visit to Hartshead Square ,Car,NIL return,£4.50,£92.66,£97.16,NIL return
Richard West,09/09/2019,2,"London, UK , England ",Senior Leadership Team Meeting & Service Delivery Executive Team Meeting ,Rail ,Standard,£153.50,£304.20,£457.70,NIL return
Richard West,17/09/2019,1,"London, UK , England ",Service Transformation Board ,Rail ,Standard,£0.00,£298.05,£298.05,NIL return
Richard West,19/09/2019,1,"London, UK , England ",Natinal Excellence Awards Ceremony ,Rail ,Standard,£3.15,£298.05,£301.20,NIL return
Richard West,23/09/2019,1,"London, UK , England ",High Potential Development Scheme Workshop ,Rail ,Standard,£8.10,£298.05,£306.15,NIL return
Richard West,24/09/2019,3,"London, UK , England ","Operational Delivery Proffesion Meeting, Customer Experience Design Workshop, Investment Committee ",Rail ,Standard,£307.21,£259.50,£566.71,NIL return
Matthew Briggs,09/07/2019,1,"Sheffield, UK",Visit with OC staff,Rail,Standard,NIL return,NIL return,£112.00,NIL return
Matthew Briggs,23/07/2019,1,"Leeds, UK",Joint SPO/SDT Senior Leadership Team meeting,Rail,Standard,£97.00,£146.75,£243.75,NIL return
Matthew Briggs,31/07/2019,1,Canterbury,Site visit Canterbury Job Centre Plus,Car,NIL return,NIL return,,£63.00,NIL return
Matthew Briggs,02/09/2019,1,Cambridge,Summer school,Car,NIL return,NIL return,£52.20,£52.20,NIL return
Matthew Briggs,03/09/2019,1,Cambridge,Summer school,Rail,Standard,NIL return,NIL return,£50.45,NIL return
Matthew Briggs,04/09/2019,1,Cambridge,Summer school,Rail,Standard,NIL return,NIL return,£25.35,NIL return
Matthew Briggs,06/09/2019,1,Cambridge,DWP Summer school ,Hire Car,NIL return,NIL return,NIL return,£45.89,NIL return
Matthew Briggs,10/09/2019,2,Edinburgh,East Scotland SLT ,"Air, Rail",Economy,£80.60,£95.53,£176.13,NIL return
Matthew Briggs,25/09/2019,1,"Birmingham, UK ",Work and Health SCS Away Day,Rail,Standard,£109.61,NIL return,£227.21,NIL return
Matthew Briggs,27/09/2019,1,Salisbury,Salisbury (South West Conference),Rail,Standard,NIL return,NIL return,£24.25,NIL return
William (Graeme) Wallace,01/07/2019,3,"London, UK/Telford",Service Delivery Executive Team Meeting/presenting at the DWP Story,Rail,Standard,£250.09,NIL return,£578.59,NIL return
William (Graeme) Wallace,15/07/2019,2,"London, UK",EU Exit Programme Board/Service Transformation Board,Rail,Standard,£155.59,NIL return,£430.44,NIL return
William (Graeme) Wallace,29/07/2019,3,"London, UK/Leeds, UK",Service Excellence Executive Team meeting/SCS Pilot,Rail,Standard,£234.40,NIL return,£624.40,NIL return
