Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (Â£)
Stockport MBC,Corporate and Support Services,Central Support Costs,AMAZON MKTPLACE PMTS,Information and Communications Technology,Information Communication Technology  ,03.04.2018,16.05.2018,GPC04180000203,701.47
Stockport MBC,Corporate and Support Services,Cultural & Related Services,FINANCIAL TIMES BU,Library Equipment,Education Library Books ,09.04.2018,16.05.2018,GPC04180000204,155.00
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,01.05.2018,16.05.2018,GPC04180000205,1.75
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,01.05.2018,16.05.2018,GPC04180000206,72.72
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,25.04.2018,16.05.2018,GPC04180000207,14.85
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 2 773,Catering Supplies,Catering Food & Beverages ,24.04.2018,16.05.2018,GPC04180000208,44.59
Stockport MBC,Services to People,Childrens & Educational Services,ALDI 2 773,Catering Supplies,Catering Food & Beverages ,17.04.2018,16.05.2018,GPC04180000209,59.21
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Office Expenses,Stationery    ,02.05.2018,16.05.2018,GPC04180000210,28.47
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Office Expenses,Stationery    ,21.04.2018,16.05.2018,GPC04180000211,10.85
Stockport MBC,Services to People,Childrens & Educational Services,UCLONLINESTORE,Furniture and Equipment,Furniture & Soft Furnishings  ,20.04.2018,16.05.2018,GPC04180000212,30.00
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Office Expenses,Stationery    ,22.04.2018,16.05.2018,GPC04180000213,45.83
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Furniture & Soft Furnishings  ,20.04.2018,16.05.2018,GPC04180000214,27.42
Stockport MBC,Corporate and Support Services,Cultural & Related Services,GREATER MANCHESTER,Office Expenses,Facilities & Management Services  ,19.04.2018,16.05.2018,GPC04180000215,15.00
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Office Expenses,Stationery    ,24.04.2018,16.05.2018,GPC04180000216,18.73
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Office Expenses,Stationery    ,18.04.2018,16.05.2018,GPC04180000217,56.92
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON EU,Library Equipment,Education Library Books ,05.04.2018,16.05.2018,GPC04180000218,11.99
Stockport MBC,Corporate and Support Services,Central Support Costs,THE REPLACE BASE LTD,Furniture and Equipment,Environmental Services Technical Equipment ,26.04.2018,16.05.2018,GPC04180000219,53.63
Stockport MBC,Corporate and Support Services,Central Support Costs,THE REPLACE BASE LTD,Furniture and Equipment,Environmental Services Technical Equipment ,18.04.2018,16.05.2018,GPC04180000220,129.13
Stockport MBC,Corporate and Support Services,Central Support Costs,THE REPLACE BASE LTD,Furniture and Equipment,Environmental Services Technical Equipment ,17.04.2018,16.05.2018,GPC04180000221,116.63
Stockport MBC,Services to Place,Highways & Transport Services,WWW.HSS.COM,Staff Training,Human Resources  ,30.04.2018,16.05.2018,GPC04180000222,899.66
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,26.04.2018,16.05.2018,GPC04180000223,101.60
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,18.04.2018,16.05.2018,GPC04180000224,34.95
Stockport MBC,Corporate and Support Services,Central Support Costs,HOTEL COLLINGWOOD,Expenses and Allowances,Human Resources Training & Conferences ,11.04.2018,16.05.2018,GPC04180000225,259.80
Stockport MBC,Corporate and Support Services,Cultural & Related Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,04.04.2018,16.05.2018,GPC04180000226,20.45
Stockport MBC,Corporate and Support Services,Central Services to the public,QHOTELS WEBSITE BOOKIN,Expenses and Allowances,Human Resources Training & Conferences ,03.04.2018,16.05.2018,GPC04180000227,163.30
Stockport MBC,Corporate and Support Services,Central Services to the public,007 CARS LTD,Leasing /Transport Hire,Vehicle Management Leasing ,01.05.2018,16.05.2018,GPC04180000228,40.00
