Ã¯Â»Â¿FSCL_YR,MINC,MINE,DepartmentNumber-NumÃÂ©ro-de-MinistÃÂ¨re,DEPT_EN_DESC,OBJ_CD,OBJ_EN_NM,AGRG_PYMT_AMT
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1228,Computer software,74.19
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1228,Computer software,345.0
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1228,Computer software,6600.37
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1228,Computer software,197.59
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1228,Computer software,411124.9
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1228,Computer software,4147136.55
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1228,Computer software,864196.89
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1228,Computer software,68342.67
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1228,Computer software,329929.35
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1228,Computer software,93959.97
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1228,Computer software,3209.2
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1228,Computer software,28575.01
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1229,Computer equipment parts,664.04
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1229,Computer equipment parts,348.89
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1229,Computer equipment parts,193.19
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1229,Computer equipment parts,961.05
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1229,Computer equipment parts,43888.88
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1229,Computer equipment parts,233507.49
2006/2007,2,Agriculture and Agri-Food,1,Agriculture and Agri-Food,1229,Computer equipment parts,3553024.76
