COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE
Case Oil Corp.,Allegany,Alma,31003600000000,Adrian 0132,UL,IW
Unknown,Cattaraugus,Allegany,31009700000000,KC 703,UN,NL
Unknown,Allegany,Alma,31003600000000,Point Oil U1,UL,OD
Unknown,Allegany,Alma,31003700000000,Root F 233,UM,NL
Unknown,Allegany,Alma,31003700000000,Root F 249,UL,NL
Unknown,Allegany,Wirt,31003700000000,Schamberger J 38,UM,NL
Unknown,Allegany,Wirt,31003700000000,Reiman L 2,UN,NL
Unknown,Allegany,Bolivar,31003700000000,Dunn P 13,UL,NL
Unknown,Cattaraugus,Allegany,31009600000000,Wiedman U2,UL,OD
Unknown,Cattaraugus,Allegany,31009700000000,KC 893,UN,NL
"Mayer, et al",Steuben,Urbana,31101000000000,Abbott Estate,UL,DW
Reservation Gas,Chautauqua,Hanover,31013000000000,Depasquale Phillip 1,UN,GD
Unknown,Allegany,Wirt,31003700000000,Schamberger J 86,UM,NL
NYS Natural Gas Corp.,Ontario,Phelps,31069000000000,Patrick Albert 3,UM,DH
Unknown,Allegany,Alma,31003700000000,Balcerak G 37,UM,NL
Pulaski Gas & Oil,Oswego,Richland,31075000000000,Patrick 3,UM,DH
Belmont Quadrangle Drilling,Tompkins,Groton,31109000000000,Caslin Thomas 1,UN,DW
Alden Batavia Natural Gas Co.,Genesee,Pavilion,31037000000000,Wilson 2,UL,GD
Unknown,Cattaraugus,Allegany,31009700000000,KC 198,UN,NL
Onondaga Gas Co.,Onondaga,Van Buren,31067000000000,Spaulding 2,UM,GD
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Keenan 15,UL,OD
Unknown,Allegany,Wirt,31003700000000,PYR 19,UM,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 472,UN,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 374,UN,NL
Unknown,Allegany,Bolivar,31003600000000,Phillips Farm 3,UL,OD
Alden Batavia Natural Gas Co.,Wyoming,Middlebury,31121000000000,Mooney William,UM,GD
Unknown,Cattaraugus,Allegany,31009600000000,Kurty U17,UL,OD
Unknown,Allegany,Alma,31003700000000,Balcerak G 81,UN,NL
Ontario Syndicate,Ontario,Gorham,31069000000000,Birdseye J W 0,UM,GW
Unknown,Allegany,Alma,31003700000000,Root F 297,UL,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 513,UL,NL
Unknown,Allegany,Bolivar,31003700000000,DF 62,UN,NL
Unknown,Allegany,Bolivar,31003700000000,Dunn P 60,UM,NL
Finance Oil & Gas,Erie,Perrysburg,31029100000000,Nephew & Williams R-133,UN,GD
Unknown,Allegany,Wirt,31003700000000,Schamberger J 7,UM,NL
Sandy Creek Oil & Gas,Oswego,Sandy Creek,31075000000000,Gardner Roy 1,UL,GD
Unknown,Erie,Buffalo,31029000000000,Fee 2,UM,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 616,UN,NL
Case Oil Corp.,Allegany,Bolivar,31003700000000,Case 13i,UL,IW
"BDH Oil, Inc.",Cattaraugus,Allegany,31009700000000,Nichols Run 53,UM,OD
Beers & Fralick,Steuben,Hartsville,31101000000000,Woodworth Brothers 1,UM,DW
Unknown,Ontario,West Bloomfield,31069000000000,Emmerson 5,UM,GD
Unknown,Cattaraugus,Allegany,31009700000000,KC 226,UN,NL
Unknown,Cattaraugus,Allegany,31009700000000,KC 231,UN,NL
